Nama Responden:,Jabatan:,Nama Rumah Sakit:,Lokasi RS:,Jumlah Tempat Tidur:,Data pasien dan operasional RS kami tersimpan dalam format digital yang terstruktur dan dapat diakses dengan mudah,"Infrastruktur IT RS kami (network, server, storage) memadai dan reliable untuk mendukung aplikasi AI",Sistem informasi RS kami (HIS/EMR) terintegrasi dengan baik dan menghasilkan data berkualitas tinggi,Tim IT internal RS kami memiliki kompetensi untuk mengelola dan mengimplementasikan solusi AI,Staff medis dan non-medis RS kami terbuka dan siap mengadopsi teknologi AI dalam pekerjaan mereka,RS kami memiliki program pelatihan berkelanjutan untuk meningkatkan digital literacy seluruh staff,Manajemen senior RS kami memiliki visi yang jelas dan komitmen kuat terhadap transformasi digital dengan AI,RS kami memiliki roadmap strategis dan budget yang dialokasikan khusus untuk implementasi AI,Ada executive sponsor yang bertanggung jawab langsung dan mengambil keputusan terkait inisiatif AI,"RS kami sudah mengimplementasikan minimal 2-3 solusi AI untuk mendukung layanan medis (diagnostik, prediksi, dll)",Solusi AI yang digunakan RS kami terintegrasi dengan sistem existing dan memberikan value yang terukur,RS kami memiliki rencana yang jelas untuk mengembangkan dan memperluas penggunaan AI ke area lain,RS kami memiliki kebijakan dan prosedur yang jelas tentang penggunaan AI dalam layanan kesehatan,Ada proses validasi klinis dan monitoring yang ketat untuk setiap implementasi AI yang digunakan,Privacy dan keamanan data pasien terjamin sesuai regulasi dan ada mekanisme audit berkala,A. Aplikasi AI yang Sudah Digunakan (Centang yang sesuai):,B. Tantangan Utama dalam Implementasi AI (Pilih 3 teratas):,C. Prioritas Implementasi AI 1-2 Tahun ke Depan:,Skor Dimensi 1,Skor Dimensi 2,Skor Dimensi 3,Skor Dimensi 4,Skor Dimensi 5,Total Skor Mentah,Total Skor,Level AI Maturity,Submission ID
,,,,,4,4,3,4,4,3,4,3,4,4,3,4,4,4,3,,,,11,11,11,11,11,55,73.33,Level 2: Exploration – Pilot project terbatas dan eksperimen awal. Fokus: Learning dan experimentation.,6278404858608970289
,,,,,,,,,,,,,5,5,,,,,,,,,0,0,5,5,0,10,15,Level 1: Awareness – RS baru menyadari potensi AI. Belum ada inisiatif konkret. Fokus: Education dan awareness building.,6277704996125145836
,,,,,,,,,,,3,,,,,,,,,,,,0,0,3,0,0,3,5,Level 1: Awareness – RS baru menyadari potensi AI. Belum ada inisiatif konkret. Fokus: Education dan awareness building.,6277700376126898459
,,,,,,,,4,5,,4,,,,,5,,3,,,,,0,9,4,5,3,21,27.33,Level 1: Awareness – RS baru menyadari potensi AI. Belum ada inisiatif konkret. Fokus: Education dan awareness building.,6277699636121467249
,,,,,,,5,,,,,,,,,,5,,,,,,5,0,0,0,5,10,11.67,Level 1: Awareness – RS baru menyadari potensi AI. Belum ada inisiatif konkret. Fokus: Education dan awareness building.,6277697746125119797
,,,,,,5,,,,,,,,,,,,,,,,,5,0,0,0,0,5,8.33,Level 1: Awareness – RS baru menyadari potensi AI. Belum ada inisiatif konkret. Fokus: Education dan awareness building.,6277694976123974906
,,,,,4,4,3,4,5,3,4,3,5,5,3,3,4,3,4,,,,11,12,12,11,11,57,76.33,Level 2: Exploration – Pilot project terbatas dan eksperimen awal. Fokus: Learning dan experimentation.,6277693616128251484
,,,,,4,4,3,4,5,3,4,3,5,5,3,3,4,3,4,,,,11,12,12,11,11,57,76.33,Level 2: Exploration – Pilot project terbatas dan eksperimen awal. Fokus: Learning dan experimentation.,6277693486123041794
,,,,,4,5,4,3,4,3,4,5,4,5,3,3,4,4,4,,,,13,10,13,11,12,59,79.33,Level 2: Exploration – Pilot project terbatas dan eksperimen awal. Fokus: Learning dan experimentation.,6277692076122069597
,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,15,15,15,15,15,75,100,Level 2: Exploration – Pilot project terbatas dan eksperimen awal. Fokus: Learning dan experimentation.,6277555176122946988
